name,n_queries
Hypoxylon sp. CO27-5,2
Ictalurus punctatus,2
Ideonella dechloratans,2
Ideonella sp. B508-1,2
Idiomarina,2
Idiomarina andamanensis,2
Idiomarina aquimaris,2
Idiomarina atlantica,2
Idiomarina donghaiensis,2
Idiomarina halophila,2
Idiomarina homiensis,2
Idiomarina indica,2
Idiomarina marina,2
Idiomarina planktonica,2
Idiomarina salinarum,2
Idiomarina sediminum,2
Idiomarina sp.,2
Idiomarina sp. 34-48-12,2
Idiomarina sp. CECT 9734,2
Idiomarina woesei,2
Ignavibacteria bacterium RBG_16_34_14,2
Ignavibacteriales bacterium,2
Inhella inkyongensis,2
Intestinibaculum porci,2
Kiritimatiellaceae bacterium,2
Kitasatospora sp. MMS16-CNU292,2
Klebsiella pneumoniae,2
Kordia sp.,2
Lachancea sp. CBS 6924,2
Lachnospiraceae,2
Lactobacillus brevis,2
Larkinella soli,2
Leeia sp. IMCC25680,2
Lentinus tigrinus ALCF2SS1-6,2
Lentisphaerales bacterium,2
Leptomonas seymouri,2
Leptotrichia hofstadii,2
Leptotrichia shahii,2
Lewinella sp. W8,2
Limnohabitans planktonicus,2
Listeria monocytogenes,2
Lutibacter profundi,2
Macrostomum lignano,2
Macroventuria anomochaeta,2
Malassezia restricta,2
Malassezia restricta CBS 7877,2
Marinilabiliales bacterium,2
Mariniphaga anaerophila,2
Massilia buxea,2
Medicago truncatula,2
Megaviridae environmental sample,2
Merops nubicus,2
Mesorhizobium,2
Mesorhizobium composti,2
Mesorhizobium loti,2
Methanomicrobiales archaeon,2
Methanosphaera sp. rholeuAM74,2
Methylibium sp.,2
Microbacterium album,2
Microbacterium sp.,2
Microbacterium sp. BH-3-3-3,2
Microdochium bolleyi,2
Micromonas commoda,2
Microthlaspi erraticum,2
Mucilaginibacter mallensis,2
Mucilaginibacter sp. OK283,2
Mycena indigotica,2
Mycoplasma crocodyli,2
Myripristis murdjan,2
Myxococcales bacterium,2
Naegleria gruberi strain NEG-M,2
Nannizzia gypsea CBS 118893,2
Neolamprologus brichardi,2
Neolentinus lepideus HHB14362 ss-1,2
Nitrososphaeria archaeon,2
Nitrospira sp.,2
Nitrospiraceae bacterium,2
Nocardia abscessus,2
Nocardia cyriacigeorgica,2
Nocardioidaceae bacterium,2
Novosphingobium indicum,2
Novosphingobium sp. CF614,2
Novosphingobium sp. FGD1,2
Obba rivulosa,2
Odontophorus gujanensis,2
Odoribacter laneus,2
Odoribacter laneus CAG:561,2
Oncorhynchus keta,2
Oncorhynchus mykiss,2
Oncorhynchus tshawytscha,2
Oscillochloris sp.,2
Paenibacillus sp. BC26,2
Paenibacillus sp. CF384,2
Panthera pardus,2
Panthera tigris altaica,2
Parachlamydiaceae bacterium,2
Paraclostridium bifermentans,2
Paragonimus westermani,2
Parastagonospora nodorum SN15,2
Pedobacter sp.,2
Pelomonas sp. Root1217,2
Penicilliopsis zonata CBS 506.65,2
Penicillium camemberti,2
Penicillium nordicum,2
Penicillium sp. str. #12,2
Peptococcaceae bacterium,2
Periconia macrospinosa,2
Phascolarctos cinereus,2
Phlebiopsis gigantea 11061_1 CR5-6,2
Phycisphaerales bacterium,2
Phyllostomus discolor,2
Phytophthora cactorum,2
Plectonema radiosum,2
Podargus strigoides,2
Polaromonas sp.,2
Polistes dominula,2
Polyangiaceae bacterium,2
Polysphondylium violaceum,2
Populus alba,2
Populus euphratica,2
Populus trichocarpa,2
Porphyromonadaceae bacterium,2
Prevotella copri,2
Prevotella corporis,2
Prevotella falsenii,2
Prevotella sp. P5-92,2
Pristionchus pacificus,2
Protopolystoma xenopodis,2
Providencia vermicola,2
Pseudidiomarina sp. R04H25,2
Pseudoalteromonas,2
Pseudoalteromonas rubra,2
Pseudodesulfovibrio indicus,2
Pseudogymnoascus sp. VKM F-4519 (FW-2642),2
Pseudomonas aeruginosa,2
Pseudomonas gingeri,2
Pseudomonas monteilii,2
Pseudomonas putida,2
Pseudomonas stutzeri,2
Pseudomonas syringae,2
Pseudomonas syringae group,2
Pseudomonas viridiflava,2
Pseudonocardiales bacterium,2
Pteropus alecto,2
Pungitius pungitius,2
Pyrinomonadaceae bacterium,2
Ramlibacter sp.,2
Reinekea forsetii,2
Reinekea sp. G2M2-21,2
Rhizobium sullae,2
Rhodococcus rhodochrous,2
Rhododendron williamsianum,2
Rhodoferax sp.,2
Rhodomicrobium sp. JA980,2
Rhodomicrobium udaipurense,2
Rhodomicrobium vannielii,2
Rhynchosporium agropyri,2
Rhynchosporium commune,2
Rhynchosporium secalis,2
Rickettsiales bacterium,2
RNA transcription vector pBRDI1,2
Rousettus aegyptiacus,2
Ruminococcus sp.,2
Saitozyma podzolica,2
Salarias fasciatus,2
Salmo salar,2
Salmo trutta,2
Salmonella enterica subsp. enterica,2
Salvelinus alpinus,2
SAR86 cluster bacterium,2
Scophthalmus maximus,2
Sebastes umbrosus,2
Seriola lalandi dorsalis,2
Shewanella colwelliana,2
Shewanella sp. XMDDZSB0408,2
Silurus meridionalis,2
Siphonobacter curvatus,2
Siphonobacter sp. BAB-5385,2
Siphonobacter sp. BAB-5405,2
Smittium angustum,2
Sparassis crispa,2
Spartobacteria bacterium,2
Sphingobacteriaceae bacterium,2
Sphingobacterium siyangense,2
Sphingomonas sp. 37zxx,2
Sphingomonas sp. URHD0057,2
Sphingopyxis sp.,2
Spirochaetaceae bacterium,2
Spirochaetae bacterium HGW-Spirochaetae-5,2
Spirosoma sp. TS118,2
Staphylococcus aureus,2
Stenotrophomonas maltophilia,2
Stentor coeruleus,2
Streblomastix strix,2
Streptococcus sp. DD11,2
Streptomyces albus,2
Streptomyces collinus,2
Streptomyces griseofuscus,2
Streptomyces hygroscopicus,2
Streptomyces misionensis,2
Streptomyces scabiei,2
Streptomyces sp. NRRL WC-3742,2
Talaromyces amestolkiae,2
Talaromyces verruculosus,2
Thalassophryne amazonica,2
Thaumarchaeota archaeon,2
Thermocatellispora tengchongensis,2
Thiothrix sp.,2
Tieghemostelium lacteum,2
Trachemys scripta elegans,2
Trichoderma asperellum CBS 433.97,2
Trichophaea hybrida,2
Trichophyton benhamiae CBS 112371,2
Trichophyton interdigitale H6,2
Trichophyton rubrum CBS 118892,2
Trichophyton tonsurans CBS 112818,2
Trichophyton verrucosum HKI 0517,2
Trifolium pratense,2
Trifolium subterraneum,2
Triticum aestivum,2
Triticum dicoccoides,2
Trypanosoma grayi,2
Trypanosoma vivax Y486,2
unclassified Bacillus,2
unclassified Flavobacterium,2
unclassified Idiomarina,2
unclassified Methylobacterium,2
unclassified Pseudoalteromonas,2
unclassified Rhodococcus,2
unclassified Sphingobium,2
uncultured Dysgonomonas sp.,2
Undibacterium macrobrachii,2
Variovorax paradoxus,2
Variovorax sp. YR750,2
Verrucomicrobia subdivision 3 bacterium,2
Verrucomicrobiales bacterium,2
Verrucosispora sonchi,2
Verticillium longisporum,2
Vibrio cholerae,2
Vibrio harveyi,2
Vibrio parahaemolyticus,2
Vibrio sp. A511,2
Vigna unguiculata,2
Xanthomonadaceae bacterium,2
Xanthomonadales bacterium,2
Xiphophorus couchianus,2
Xiphophorus hellerii,2
Zhengella mangrovi,2
Zostera marina,2
Zygosaccharomyces rouxii,2
'Candidatus Kapabacteria' thiocyanatum,1
[Candida] arabinofermentans NRRL YB-2248,1
[Clostridium] asparagiforme DSM 15981,1
[Clostridium] clostridioforme,1
[Clostridium] saccharogumia,1
[Eubacterium] cellulosolvens,1
[Flexibacter] sp. ATCC 35208,1
[Hallella] seregens,1
[Nectria] haematococca mpVI 77-13-4,1
[Pasteurella] aerogenes,1
[Ruminococcus] gnavus,1
[Ruminococcus] torques,1
Absidia glauca,1
Absidia repens,1
Acanthisitta chloris,1
Acanthocheilonema viteae,1
Acetobacter aceti 1023,1
Acetobacter orientalis,1
Acetobacter sp. CAG:977,1
Acetobacteraceae bacterium AT-5844,1
Acetobacterium dehalogenans,1
Acholeplasmataceae bacterium,1
Acholeplasmatales bacterium,1
Acidianus sulfidivorans,1
Acidiferrobacteraceae bacterium,1
Acidimangrovimonas indica,1
Acidimangrovimonas sediminis,1
Acidipila dinghuensis,1
Acidithiobacillus,1
Acidithiobacillus sp. SH,1
Acidobacteria bacterium 13_1_20CM_2_68_7,1
Acidobacteria bacterium 13_1_40CM_2_68_5,1
Acidobacteria bacterium 13_1_40CM_4_69_4,1
Acidobacteria bacterium 21-70-11,1
Acidobacteria bacterium AB60,1
Acidobacteria bacterium Mor1,1
Acidobacteria bacterium RBG_13_68_16,1
Acidobacteriia bacterium,1
Acidocella sp. 20-61-6,1
Acidovorax,1
Acidovorax kalamii,1
Acidovorax konjaci,1
Acidovorax sp. 107,1
Acidovorax sp. 99,1
Acidovorax sp. FJL06,1
Acidovorax sp. GW101-3H11,1
Acidovorax sp. Root402,1
Acidovorax sp. Root70,1
Acidovorax wautersii,1
Acinetobacter,1
Acinetobacter albensis,1
Acinetobacter baumannii,1
Acinetobacter idrijaensis,1
Acinetobacter lwoffii,1
Acinetobacter lwoffii NCTC 5866 = CIP 64.10 = NIPH 512,1
Acinetobacter lwoffii SH145,1
Acinetobacter sp. 323-1,1
Acinetobacter sp. ANC 4178,1
Acinetobacter sp. ANC 5044,1
Acinetobacter sp. ANC 5324,1
Acinetobacter sp. AR2-3,1
Acinetobacter sp. CIP 102136,1
Acinetobacter sp. CIP 51.11,1
Acinetobacter sp. NIPH 713,1
Acinetobacter sp. RIT592,1
Acinetobacter sp. TTH0-4,1
Acinetobacter sp. YH01008,1
Acinetobacter sp. YH01021,1
Acinetobacter sp. YH12102,1
Acinetobacter sp. YH12254,1
Acinetobacter sp. YH16052,1
Acinetobacter sp. YH18001,1
Acinonyx jubatus,1
Acrocarpospora corrugata,1
Acrocarpospora macrocephala,1
Acrocarpospora pleiomorpha,1
Acropora digitifera,1
Acropora millepora,1
Actinoallomurus bryophytorum,1
Actinobacteria,1
Actinobacteria bacterium 13_2_20CM_2_71_6,1
Actinobacteria bacterium HGW-Actinobacteria-11,1
Actinobacteria bacterium HGW-Actinobacteria-2,1
Actinocorallia herbida,1
Actinocrispum wychmicini,1
Actinokineospora cianjurensis,1
Actinomadura,1
Actinomadura cellulosilytica,1
Actinomadura chibensis,1
Actinomadura citrea,1
Actinomadura coerulea,1
Actinomadura flavalba,1
Actinomadura luteofluorescens,1
Actinomadura mexicana,1
Actinomadura rubrobrunea,1
Actinomadura sp. BRA 177,1
Actinomadura sp. DSM 109109,1
Actinomadura sp. K4S16,1
Actinomadura sp. KC345,1
Actinomadura sp. NEAU-AAG5,1
Actinomadura sp. RB68,1
Actinomadura sp. WMMA1423,1
Actinomadura umbrina,1
Actinomyces israelii,1
Actinomyces oris,1
Actinomyces sp.,1
Actinomyces succiniciruminis,1
Actinomycetales bacterium,1
Actinomycetospora sp. TBRC 11914,1
Actinoplanes atraurantiacus,1
Actinoplanes brasiliensis,1
Actinoplanes digitatis,1
Actinoplanes globisporus,1
Actinoplanes missouriensis,1
Actinoplanes sp. ATCC 53533,1
Actinoplanes sp. LAM7112,1
Actinoplanes sp. OR16,1
Actinoplanes sp. TBRC 11911,1
Actinoplanes utahensis,1
Actinoplanes xinjiangensis,1
Actinorugispora endophytica,1
Adhaeribacter sp. M2,1
Advenella kashmirensis,1
Advenella sp. S44,1
Aegilops tauschii subsp. tauschii,1
Aegithalos caudatus,1
Aegotheles bennettii,1
Aeromicrobium sp. M2KJ-4,1
Aeromonas,1
Aeromonas cavernicola,1
Aeromonas enteropelogenes,1
Aeromonas hydrophila,1
Aeromonas media,1
Aestuariispira insulae,1
Aestuariivirga litoralis,1
Aethina tumida,1
Afipia broomeae,1
Agarilytica rhodophyticola,1
Agarivorans albus,1
Agarivorans sp. Alg241-V36,1
Agathobaculum butyriciproducens,1
Agathobaculum sp. M2,1
Aggregatibacter,1
Aggregatibacter aphrophilus,1
Aggregatibacter kilianii,1
Aggregatibacter sp. oral taxon 458,1
Agrilus planipennis,1
Agrobacterium rhizogenes,1
Agrobacterium rosae,1
Agrobacterium sp. B1(2019),1
Agrobacterium sp. LAD9,1
Agrobacterium tumefaciens,1
Agrococcus casei,1
Agrococcus jejuensis,1
Agrococcus sp. Marseille-P2731,1
Agrocybe aegerita,1
Agromyces fucosus,1
Agromyces hippuratus,1
Agromyces sp. LHK192,1
Agromyces sp. OV568,1
Agromyces sp. Root1464,1
Albimonas donghaensis,1
